,RunsToWin,Winner,Reversals,PlayerActiveRounds
0,38,Player3,1,130
1,25,Player4,1,78
2,5,Player1,0,15
3,50,Player4,0,147
4,51,Player3,1,127
5,23,Player1,3,65
6,51,,1,165
7,24,Player2,2,71
8,44,Player4,0,148
9,17,Player3,1,46
10,51,,1,144
11,44,Player2,3,124
12,21,Player2,1,55
13,12,Player2,0,38
14,37,Player1,1,125
15,34,Player2,0,118
16,36,Player4,2,105
17,28,Player2,1,88
18,23,Player4,1,73
19,51,,1,176
20,22,Player4,2,68
21,37,Player3,1,126
22,29,Player4,0,79
23,51,,1,158
24,29,Player4,3,100
25,24,Player2,0,73
26,28,Player1,0,96
27,23,Player3,2,68
28,29,Player2,2,83
29,30,Player3,2,90
30,16,Player4,0,48
31,16,Player2,1,59
32,42,Player2,1,123
33,4,Player4,2,12
34,40,Player4,2,126
35,36,Player1,0,100
36,32,Player2,2,95
37,51,,0,154
38,23,Player3,0,67
39,28,Player1,3,80
40,17,Player2,2,63
41,34,Player2,1,109
42,26,Player3,3,63
43,35,Player4,3,93
44,9,Player1,1,22
45,24,Player2,0,69
46,31,Player2,1,102
47,51,,1,125
48,35,Player2,0,120
49,51,,0,173
50,30,Player1,1,90
51,26,Player1,1,98
52,20,Player3,1,69
53,35,Player2,1,90
54,17,Player2,2,47
55,15,Player1,0,46
56,27,Player2,1,71
57,34,Player2,0,110
58,28,Player3,4,73
59,33,Player4,1,85
60,20,Player1,1,72
61,12,Player2,1,37
62,51,,1,139
63,45,Player2,2,138
64,26,Player2,0,75
65,51,,1,175
66,18,Player2,0,39
67,50,Player4,3,148
68,51,,0,171
69,20,Player2,0,46
70,16,Player4,2,53
71,51,,2,134
72,47,Player3,1,151
73,28,Player1,1,94
74,51,,1,123
75,49,,2,170
76,39,Player3,0,111
77,38,Player2,1,121
78,51,,0,126
79,20,Player1,1,61
80,30,Player1,1,86
81,24,Player4,1,70
82,18,Player2,2,50
83,51,,0,156
84,21,Player2,1,66
85,12,Player1,1,41
86,38,Player3,1,102
87,21,Player3,1,58
88,51,,0,148
89,51,,1,138
90,19,Player4,0,64
91,15,Player3,1,45
92,40,Player4,1,129
93,18,Player2,2,54
94,38,Player1,1,137
95,51,,1,174
96,24,Player2,1,64
97,37,Player3,1,116
98,28,Player4,0,91
99,35,Player1,1,101
